Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Condition
319,0,1,2,3,3,2,1,2,1,2,2,1,3,Moderate
320,3,0,0,0,2,1,2,3,1,1,2,1,3,Moderate
321,1,1,2,2,2,2,2,3,3,3,3,3,2,Severe
322,1,1,2,2,2,2,1,1,2,3,2,2,2,Moderate
323,2,3,3,2,2,2,3,1,3,2,3,3,2,Severe
324,0,1,2,3,3,0,3,1,2,2,2,1,2,Moderate
325,0,2,1,2,2,3,2,2,1,2,2,2,2,Moderate
326,2,1,0,2,1,2,1,2,2,0,0,2,2,Moderate
327,1,3,3,2,1,2,3,2,2,2,0,1,1,Moderate
328,1,2,2,1,3,3,1,1,3,2,3,2,2,Severe
329,1,2,2,2,2,2,2,2,1,2,3,3,3,Severe
330,1,2,2,2,1,0,2,2,3,1,1,2,2,Moderate
331,1,1,1,2,2,2,2,2,2,1,2,2,2,Moderate
332,1,2,2,2,2,2,2,0,1,2,2,2,2,Moderate
333,1,2,1,2,2,2,2,2,2,2,1,1,1,Moderate
334,2,2,2,2,2,1,2,2,2,2,2,2,2,Severe
335,1,2,3,2,1,3,0,2,1,3,2,3,3,Severe
336,1,2,3,2,3,1,2,3,2,2,2,2,2,Severe
337,2,3,3,2,2,2,2,1,2,2,1,2,2,Severe
338,1,2,2,2,2,2,2,3,2,2,2,2,1,Severe
339,1,2,1,1,3,3,3,2,2,2,2,1,3,Severe
340,1,2,2,3,1,2,3,2,0,2,2,2,2,Severe
341,1,2,2,0,0,1,1,1,1,1,1,1,1,Normal
342,1,1,2,2,2,2,2,2,2,0,2,1,2,Moderate
343,1,1,1,1,2,1,3,1,1,2,2,1,1,Moderate
344,2,1,2,2,3,1,3,1,2,1,1,1,3,Moderate
345,1,1,2,2,2,1,2,2,2,2,2,1,1,Moderate
346,1,2,1,2,1,1,2,2,2,2,2,3,2,Moderate
347,2,1,2,2,2,2,2,1,2,2,2,3,2,Severe
348,2,2,3,1,1,1,1,2,3,3,1,1,2,Moderate
349,2,2,2,1,2,3,2,1,3,1,1,1,3,Severe
350,1,1,1,0,2,0,1,1,1,2,1,2,2,Mild
351,1,0,2,1,1,2,0,2,1,1,0,0,3,Mild
352,2,2,2,0,0,2,2,2,1,2,1,0,3,Moderate
353,1,2,2,2,1,1,2,2,2,2,3,2,2,Severe
354,0,0,2,2,2,2,3,3,1,3,3,3,1,Severe
355,1,0,2,3,3,2,1,3,1,2,1,0,2,Moderate
356,1,2,2,2,2,2,1,2,2,2,2,1,2,Moderate
357,1,1,0,1,1,0,1,2,2,2,1,3,1,Mild
358,1,1,2,1,1,1,3,2,1,2,2,2,2,Moderate
359,0,1,3,2,3,1,1,1,2,0,3,0,2,Moderate
360,1,1,2,2,2,2,2,3,2,2,0,1,3,Severe
361,0,1,3,2,3,1,1,1,1,3,2,3,1,Moderate
362,2,3,1,0,1,3,3,3,0,2,1,2,0,Moderate
363,2,1,1,2,2,1,1,1,2,0,3,0,2,Moderate
364,0,1,2,1,2,0,0,3,0,3,0,2,2,Mild
365,1,0,1,0,1,0,3,2,3,1,2,0,2,Mild
366,1,2,2,2,1,0,0,0,0,2,1,2,0,Normal
367,2,1,2,2,3,0,2,3,3,1,0,1,2,Moderate
368,2,1,2,2,1,3,3,2,0,3,3,0,2,Severe
369,1,1,2,2,3,1,3,2,0,1,0,0,2,Moderate
370,0,2,0,2,3,1,1,0,2,3,3,2,0,Moderate
371,2,2,2,2,1,1,1,1,1,2,1,2,2,Moderate
372,0,1,3,2,3,1,1,0,2,0,2,3,1,Moderate
373,1,1,2,1,1,2,3,2,0,2,0,1,3,Moderate
374,2,2,0,2,3,2,2,1,1,1,1,2,2,Moderate
375,2,2,2,2,3,3,0,2,3,1,2,3,2,Severe
376,1,0,2,2,1,1,1,0,2,0,3,0,2,Mild
377,2,1,1,2,2,1,2,1,0,2,2,3,1,Moderate
378,1,1,2,1,1,3,0,2,1,2,1,2,0,Mild
379,1,2,2,2,2,1,1,1,0,2,1,1,1,Moderate
380,1,1,2,2,1,2,3,1,1,1,2,2,3,Moderate
381,1,1,1,2,1,2,2,2,1,1,2,3,2,Moderate
382,1,1,3,2,3,1,1,1,1,0,0,1,3,Moderate
383,0,0,2,1,2,0,0,0,1,3,2,3,1,Mild
384,0,2,2,3,0,2,3,0,0,2,1,2,0,Mild
385,0,0,2,1,2,0,3,0,3,0,2,0,2,Mild
386,0,0,1,3,0,2,2,2,0,2,3,0,0,Mild
387,1,3,3,3,2,3,3,3,3,1,1,2,2,Severe
388,0,1,3,2,3,3,3,1,3,2,0,2,2,Severe
389,0,1,2,2,1,0,2,3,0,3,1,0,3,Moderate
390,0,2,2,1,2,1,2,0,1,1,0,1,1,Mild
391,1,3,2,1,2,2,1,2,1,2,2,1,1,Moderate
392,1,2,3,3,0,2,0,2,0,3,2,0,1,Moderate
393,0,3,2,0,2,3,2,1,3,2,1,3,2,Severe
394,1,3,0,2,3,2,3,3,2,2,2,1,1,Moderate
395,1,2,0,0,2,0,2,0,0,3,2,3,1,Mild
396,1,2,2,0,1,1,1,2,1,0,3,2,2,Moderate
397,2,1,2,2,3,2,0,2,1,2,1,2,3,Moderate
398,1,0,0,2,0,2,1,1,0,1,2,1,2,Normal
399,1,2,2,1,2,1,2,1,3,1,2,1,1,Moderate
400,1,1,2,1,0,1,2,1,1,1,1,1,1,Mild
401,0,1,2,1,3,3,1,2,1,0,2,1,1,Moderate
402,2,1,1,1,2,1,1,2,2,3,0,1,2,Moderate
403,1,2,2,2,1,1,3,3,2,2,1,2,1,Moderate
404,1,2,1,2,3,0,1,1,0,1,1,1,1,Mild
405,1,1,1,3,2,2,1,2,2,2,1,1,1,Moderate
406,2,2,1,2,3,1,1,1,1,1,0,0,2,Mild
407,1,2,1,2,1,2,2,3,2,1,0,1,2,Moderate
408,2,1,0,2,1,2,1,3,1,1,2,1,1,Moderate
409,1,2,1,2,1,3,2,3,2,0,1,0,1,Moderate
410,0,1,3,2,2,1,3,3,3,2,2,0,2,Severe
411,1,2,0,2,0,2,1,1,1,2,1,1,0,Normal
412,1,3,0,2,2,1,3,2,2,3,1,2,2,Moderate
413,3,1,2,3,1,0,0,3,1,3,2,3,0,Moderate
414,2,3,3,3,2,0,0,0,3,3,1,1,0,Moderate
415,0,1,1,1,2,3,2,0,3,1,3,0,2,Moderate
